	ID	NAME	COUNTRY	REGION	sNMF_K3	Jap_K4	K9_cluster	Initial_subpop	genoIndex	code	label
0	CX59	MILAGROSA,_ZAWA_BANDAY	Philippines	As5	4	1	cB_(Bas)	aro	296	4	aro
1	CX65	DOMSIAH	Iran	As1	4	1	cB_(Bas)	aro	301	4	aro
2	CX67	BINAM	Iran	As1	4	1	cB_(Bas)	aro	303	4	aro
3	CX104	SADRI_RICE_1	Iran	As1	4	1	cB_(Bas)	aro	338	4	aro
4	CX143	KHASAR	Iran	As1	4	1	cB_(Bas)	aro	372	4	aro
5	CX149	KARNAL_LOCAL	India	As2a	4	1	cB_(Bas)	aro	378	4	aro
6	IRIS_313-8268	CHHOTE_DHAN	Nepal	As2b	4	1	cB_(Bas)	aro	757	4	aro
7	IRIS_313-8326	JC_1	India	As2a	4	1	cB_(Bas)	aro	777	4	aro
8	IRIS_313-8385	JC_149	India	As2a	4	1	cB_(Bas)	aro	789	4	aro
9	IRIS_313-8656	BASMATI_1	Pakistan	As1	4	1	cB_(Bas)	aro	868	4	aro
10	IRIS_313-8712	ARC_13829	India	As2e	4	1	cB_(Bas)	aro	888	4	aro
11	IRIS_313-8747	DOM_ZARD	Iran	As1	4	1	cB_(Bas)	aro	905	4	aro
12	IRIS_313-8813	ARC_10497	India	As2e	4	1	cB_(Bas)	aro	926	4	aro
13	IRIS_313-9083	PANKHARI_203	India	As2a	4	1	cB_(Bas)	aro	1010	4	aro
14	IRIS_313-9172	ARC_7229	India	As2e	4	1	cB_(Bas)	aro	1036	4	aro
15	IRIS_313-9601	CHAWAL	Pakistan	As1	4	1	cB_(Bas)	aro	1166	4	aro
16	IRIS_313-9629	JC_157	India	As2a	4	1	cB_(Bas)	aro	1179	4	aro
17	IRIS_313-10670	ARC_10296	India	As2e	4	1	cB_(Bas)	aro	1576	4	aro
18	IRIS_313-10851	ARC_7296	India	As2e	4	1	cB_(Bas)	aro	1744	4	aro
19	IRIS_313-10868	ARC_11571	India	As2e	4	1	cB_(Bas)	aro	1760	4	aro
20	IRIS_313-10926	RAM_SALEE_KATAKA	Nepal	As2b	4	1	cB_(Bas)	aro	1817	4	aro
21	IRIS_313-10933	ARC_7281	India	As2e	4	1	cB_(Bas)	aro	1824	4	aro
22	IRIS_313-11021	BARA_PASHAWARI_390	Pakistan	As1	4	1	cB_(Bas)	aro	1910	4	aro
23	IRIS_313-11022	BASMATI_SUFAID_100	Pakistan	As1	4	1	cB_(Bas)	aro	1911	4	aro
24	IRIS_313-11023	BASMATI_SURKH_161	Pakistan	As1	4	1	cB_(Bas)	aro	1912	4	aro
25	IRIS_313-11026	HANSRAJ	Pakistan	As1	4	1	cB_(Bas)	aro	1915	4	aro
26	IRIS_313-11218	BADSHABHOG_4-60	Bangladesh	As2c	4	1	cB_(Bas)	aro	2100	4	aro
27	IRIS_313-11258	ARC_13502	India	As2e	4	1	cB_(Bas)	aro	2140	4	aro
28	IRIS_313-11268	ARC_14398	India	As2e	4	1	cB_(Bas)	aro	2150	4	aro
29	IRIS_313-11289	ARC_18578	India	As2e	4	1	cB_(Bas)	aro	2171	4	aro
30	IRIS_313-11293	ARC_10975	India	As2e	4	1	cB_(Bas)	aro	2175	4	aro
31	IRIS_313-11451	KALISAL	India	As2a	4	1	cB_(Bas)	aro	2324	4	aro
32	IRIS_313-11564	HALIDA	Nepal	As2b	4	1	cB_(Bas)	aro	2411	4	aro
33	IRIS_313-11567	RATO_BASMATI	Nepal	As2b	4	1	cB_(Bas)	aro	2414	4	aro
34	IRIS_313-11625	CHOBO	Nepal	As2b	4	1	cB_(Bas)	aro	2459	4	aro
35	IRIS_313-11627	JADO	Nepal	As2b	4	1	cB_(Bas)	aro	2461	4	aro
36	IRIS_313-11630	POHHERLIMASION	Nepal	As2b	4	1	cB_(Bas)	aro	2464	4	aro
37	IRIS_313-11632	SETO_JHINUWA	Nepal	As2b	4	1	cB_(Bas)	aro	2465	4	aro
38	IRIS_313-11743	CHHOTI_MASHINO	Bhutan	As2d	4	1	cB_(Bas)	aro	2562	4	aro
39	IRIS_313-11825	HANSRAJ	India	As2a	4	1	cB_(Bas)	aro	2633	4	aro
40	IRIS_313-11826	HIRA_NAKHI	India	As2a	4	1	cB_(Bas)	aro	2634	4	aro
41	IRIS_313-12074	KYAIN_WAR_ME_DONE	Myanmar	As3	4	1	cB_(Bas)	aro	2857	4	aro
42	IRIS_313-12094	KASHA	Bangladesh	As2c	4	1	cB_(Bas)	aro	2867	4	aro
43	CX66	TAROM_MOLAII	Iran	As1	4	1	cB_(Bas)	aro	302	4	aro
44	CX110	UP15	Japan	As7	4	1	cB_(Bas)	aro	343	4	aro
45	IRIS_313-8765	TIMMURAY	Bhutan	As2d	4	1	cB_(Bas)	aro	910	4	aro
46	IRIS_313-8814	SHANKA	Bhutan	As2d	4	1	cB_(Bas)	aro	927	4	aro
47	IRIS_313-9170	TK_DEEP_STRAW_34-786	Bangladesh	As2c	4	1	cB_(Bas)	aro	1035	4	aro
48	IRIS_313-9445	KOIYA_DIGHA	Bangladesh	As2c	4	1	admix	admix	1122	4	admix
49	IRIS_313-9682	TK_RED_35-799	Bangladesh	As2c	4	1	cB_(Bas)	aro	1187	4	aro
50	IRIS_313-10521	SANNABATHA	India	As2a	4	1	cB_(Bas)	aro	1481	4	aro
51	IRIS_313-10732	MADHUWA_KARIA	Nepal	As2b	4	1	cB_(Bas)	aro	1630	4	aro
52	IRIS_313-11030	MUTANT_12-42	Pakistan	As1	4	1	cB_(Bas)	aro	1919	4	aro
53	IRIS_313-11259	ARC_13515	India	As2e	4	1	cB_(Bas)	aro	2141	4	aro
54	IRIS_313-11350	BAJAL	India	As2a	4	1	cB_(Bas)	aro	2230	4	aro
55	IRIS_313-11356	CR_44-1	India	As2a	4	1	cB_(Bas)	aro	2236	4	aro
56	IRIS_313-11362	KEYA_NUNIA	India	As2a	4	1	cB_(Bas)	aro	2242	4	aro
57	IRIS_313-11373	T_3	India	As2a	4	1	cB_(Bas)	aro	2252	4	aro
58	IRIS_313-11375	CODE_NO_31225	India	As2a	4	1	cB_(Bas)	aro	2254	4	aro
59	IRIS_313-11401	MOTANGA	Bangladesh	As2c	4	1	cB_(Bas)	aro	2279	4	aro
60	IRIS_313-11698	TAIPEI_167	Taiwan	As6	4	1	cB_(Bas)	aro	2522	4	aro
61	IRIS_313-15909	IET_14720	0	0	4	1	cB_(Bas)	aro	3020	4	aro
62	B023	GAOLIQIU	NorthKorea	As7	5	1	GJ-tmp	temp	20	5	temp
63	B047	ZHENFU_8	Japan	As7	5	1	GJ-tmp	temp	42	5	temp
64	B084	BAWANGBIAN_1	China	As6	5	1	admix	admix	76	5	admix
65	B086	MUGUANUO	China	As6	5	1	admix	admix	78	5	admix
66	B124	GENG_87-304	China	As6	5	1	GJ-tmp	temp	114	5	temp
67	B143	76--1	China	As6	5	1	GJ-tmp	temp	133	5	temp
68	B152	ZAOSHUNONGHU_6	China	As6	5	1	GJ-tmp	temp	142	5	temp
69	B164	QINGKE	China	As6	5	1	cA_(Aus)	aus	154	5	aus
70	B173	TJANTAJAN	Indonesia	As5	5	1	admix	admix	162	5	admix
71	B221	FANHAOPI	China	As6	5	1	XI-1A	ind1A	201	5	ind1A
72	B243	HUHUI_91269	China	As6	5	1	cA_(Aus)	aus	222	5	aus
73	CX46	PUSA(BASMATI_1)	India	As2a	5	1	admix	admix	283	5	admix
74	CX72	BASMATI_385	Pakistan	As1	5	1	cB_(Bas)	aro	308	5	aro
75	CX155	MADHUKAR	India	As2a	5	1	XI-2	ind2	384	5	ind2
76	CX227	KASALATH	Japan	As7	5	1	cA_(Aus)	aus	407	5	aus
77	IRIS_313-7933	KAKANI_2	Nepal	As2b	5	1	admix	admix	626	5	admix
78	IRIS_313-8256	GERDEH	Iran	As1	5	1	GJ-adm	japx	755	5	japx
79	IRIS_313-8302	KAMJA	Bhutan	As2d	5	1	admix	admix	766	5	admix
80	IRIS_313-8382	ARC_13252	India	As2e	5	1	admix	admix	787	5	admix
81	IRIS_313-8436	PIKTO_MAMAS	Indonesia	As5	5	1	GJ-trp	trop	809	5	trop
82	IRIS_313-8872	571	Thailand	As4	5	1	GJ-sbtrp	japx	942	5	japx
83	IRIS_313-8911	LEK	Thailand	As4	5	1	admix	admix	955	5	admix
84	IRIS_313-8986	ARC_10754	India	As2e	5	1	XI-adm	indx	981	5	indx
85	IRIS_313-9053	ARC_12536	India	As2e	5	1	admix	admix	1001	5	admix
86	IRIS_313-9101	DARAWAL	Malaysia	As4	5	1	admix	admix	1014	5	admix
87	IRIS_313-9137	ARC_10100	India	As2e	5	1	cA_(Aus)	aus	1029	5	aus
88	IRIS_313-9242	SUKARADJA	Indonesia	As5	5	1	admix	admix	1057	5	admix
89	IRIS_313-9313	ARC_10799	India	As2e	5	1	XI-adm	indx	1080	5	indx
90	IRIS_313-9392	ARC_11626	India	As2e	5	1	admix	admix	1104	5	admix
91	IRIS_313-9403	BADUIE	India	As2a	5	1	XI-2	ind2	1108	5	ind2
92	IRIS_313-9506	TIMA	Bhutan	As2d	5	1	admix	admix	1139	5	admix
93	IRIS_313-9695	SOLAY_GHAT	Pakistan	As1	5	1	cA_(Aus)	aus	1192	5	aus
94	IRIS_313-9783	BERENJ_1277_S	Afghanistan	As1	5	1	admix	admix	1222	5	admix
95	IRIS_313-9949	PANNITHI	SriLanka	As2	5	1	GJ-trp	trop	1267	5	trop
96	IRIS_313-10562	SENG_CHUI_LIN	China	As6	5	1	GJ-adm	japx	1510	5	japx
97	IRIS_313-10609	MATHOLUWA	SriLanka	As2	5	1	XI-adm	indx	1544	5	indx
98	IRIS_313-10671	ARC_10581	India	As2e	5	1	XI-adm	indx	1577	5	indx
99	IRIS_313-10676	ARC_10916	India	As2e	5	1	admix	admix	1581	5	admix
100	IRIS_313-10738	ANDEL_WELUT	Indonesia	As5	5	1	admix	admix	1636	5	admix
101	IRIS_313-10740	KETAN_PAPAH_AREN	Indonesia	As5	5	1	GJ-trp	trop	1638	5	trop
102	IRIS_313-10771	GOGO_RAJAPAN	Indonesia	As5	5	1	GJ-trp	trop	1667	5	trop
103	IRIS_313-10785	KETAN_SLAWI	Indonesia	As5	5	1	GJ-trp	trop	1681	5	trop
104	IRIS_313-10786	KETAN_URANG	Indonesia	As5	5	1	XI-3	ind3	1682	5	ind3
105	IRIS_313-10787	KWATIK_PUTIH	Indonesia	As5	5	1	XI-3	ind3	1683	5	ind3
106	IRIS_313-10790	LOLAWAJI	Indonesia	As5	5	1	GJ-trp	trop	1686	5	trop
107	IRIS_313-10800	PALOTAN_MELATI	Indonesia	As5	5	1	GJ-trp	trop	1696	5	trop
108	IRIS_313-10816	SIDJERO_GUNDIL	Indonesia	As5	5	1	GJ-trp	trop	1712	5	trop
109	IRIS_313-10817	SLAMET	Indonesia	As5	5	1	GJ-trp	trop	1713	5	trop
110	IRIS_313-10850	ARC_7263	India	As2e	5	1	admix	admix	1743	5	admix
111	IRIS_313-10854	ARC_10145	India	As2e	5	1	cA_(Aus)	aus	1747	5	aus
112	IRIS_313-10856	ARC_10537	India	As2e	5	1	admix	admix	1749	5	admix
113	IRIS_313-10857	ARC_10825	India	As2e	5	1	admix	admix	1750	5	admix
114	IRIS_313-10859	ARC_10939	India	As2e	5	1	XI-adm	indx	1752	5	indx
115	IRIS_313-10861	ARC_11276	India	As2e	5	1	cA_(Aus)	aus	1753	5	aus
116	IRIS_313-10864	ARC_11338	India	As2e	5	1	admix	admix	1756	5	admix
117	IRIS_313-10871	ARC_11777	India	As2e	5	1	cA_(Aus)	aus	1763	5	aus
118	IRIS_313-10872	ARC_11802	India	As2e	5	1	GJ-adm	japx	1764	5	japx
119	IRIS_313-10873	ARC_11822	India	As2e	5	1	cA_(Aus)	aus	1765	5	aus
120	IRIS_313-10876	ARC_12067	India	As2e	5	1	cA_(Aus)	aus	1768	5	aus
121	IRIS_313-10877	ARC_12079	India	As2e	5	1	cA_(Aus)	aus	1769	5	aus
122	IRIS_313-10878	ARC_12101	India	As2e	5	1	cA_(Aus)	aus	1770	5	aus
123	IRIS_313-10879	ARC_12124	India	As2e	5	1	admix	admix	1771	5	admix
124	IRIS_313-10881	ARC_12413	India	As2e	5	1	admix	admix	1773	5	admix
125	IRIS_313-10882	ARC_12433	India	As2e	5	1	cA_(Aus)	aus	1774	5	aus
126	IRIS_313-10883	ARC_12490	India	As2e	5	1	admix	admix	1775	5	admix
127	IRIS_313-10891	ARC_12867	India	As2e	5	1	cA_(Aus)	aus	1783	5	aus
128	IRIS_313-10892	ARC_12920	India	As2e	5	1	cA_(Aus)	aus	1784	5	aus
129	IRIS_313-10894	ARC_13204	India	As2e	5	1	admix	admix	1786	5	admix
130	IRIS_313-10896	ARC_13276	India	As2e	5	1	admix	admix	1788	5	admix
131	IRIS_313-10918	T_Q_QI_QINYUHAYUHA	Philippines	As5	5	1	GJ-trp	trop	1809	5	trop
132	IRIS_313-10936	KETAN_GUNDIL	Indonesia	As5	5	1	GJ-trp	trop	1827	5	trop
133	IRIS_313-10980	DUDHSAR	Bangladesh	As2c	5	1	admix	admix	1870	5	admix
134	IRIS_313-11005	PULU_LOTONG	Indonesia	As5	5	1	GJ-trp	trop	1894	5	trop
135	IRIS_313-11031	NAWAN_SATHRA_BAGAR_344	Pakistan	As1	5	1	cA_(Aus)	aus	1920	5	aus
136	IRIS_313-11032	PALAM_PURI_BAS_137	Pakistan	As1	5	1	cB_(Bas)	aro	1921	5	aro
137	IRIS_313-11046	LALANGIT	Malaysia	As4	5	1	GJ-trp	trop	1935	5	trop
138	IRIS_313-11062	BEGUNBICHI_33	Bangladesh	As2c	5	1	cB_(Bas)	aro	1951	5	aro
139	IRIS_313-11068	PANKAIT_31	Bangladesh	As2c	5	1	cB_(Bas)	aro	1957	5	aro
140	IRIS_313-11095	MAK_EA_NAM	Laos	As4	5	1	XI-3	ind3	1984	5	ind3
141	IRIS_313-11136	NGAKWE_THETYIN	Myanmar	As3	5	1	admix	admix	2025	5	admix
142	IRIS_313-11204	KARTIKHAMA	Bangladesh	As2c	5	1	XI-adm	indx	2087	5	indx
143	IRIS_313-11223	OVAL_RED_29_B_601	Bangladesh	As2c	5	1	cB_(Bas)	aro	2105	5	aro
144	IRIS_313-11257	ARC_12757	India	As2e	5	1	XI-adm	indx	2139	5	indx
145	IRIS_313-11263	ARC_13919	India	As2e	5	1	XI-adm	indx	2145	5	indx
146	IRIS_313-11269	ARC_14632	India	As2e	5	1	XI-adm	indx	2151	5	indx
147	IRIS_313-11270	ARC_14663	India	As2e	5	1	cB_(Bas)	aro	2152	5	aro
148	IRIS_313-11274	ARC_14901	India	As2e	5	1	cA_(Aus)	aus	2156	5	aus
149	IRIS_313-11285	ARC_18064	India	As2e	5	1	XI-2	ind2	2167	5	ind2
150	IRIS_313-11290	ARC_6579	India	As2e	5	1	admix	admix	2172	5	admix
151	IRIS_313-11295	ARC_11397	India	As2e	5	1	admix	admix	2177	5	admix
152	IRIS_313-11297	ARC_13460	India	As2e	5	1	admix	admix	2179	5	admix
153	IRIS_313-11302	ARC_14899	India	As2e	5	1	XI-adm	indx	2184	5	indx
154	IRIS_313-11352	BUCHI	India	As2a	5	1	cB_(Bas)	aro	2232	5	aro
155	IRIS_313-11452	LOCAL_BHAT	India	As2a	5	1	cA_(Aus)	aus	2325	5	aus
156	IRIS_313-11453	ZINYA_KOLAMBA	India	As2a	5	1	XI-2	ind2	2326	5	ind2
157	IRIS_313-11460	SELHI	India	As2a	5	1	XI-2	ind2	2331	5	ind2
158	IRIS_313-11484	EJALI	Bangladesh	As2c	5	1	cA_(Aus)	aus	2349	5	aus
159	IRIS_313-11591	PULUT_MERAH_2	Malaysia	As4	5	1	admix	admix	2432	5	admix
