"ID","NAME","COUNTRY","REGION","sNMF_K3","Jap_K4","K9_cluster","Initial_subpop","genoIndex"
"CX59","MILAGROSA,_ZAWA_BANDAY","Philippines","As5",4,1,"cB_(Bas)","aro",296
"CX65","DOMSIAH","Iran","As1",4,1,"cB_(Bas)","aro",301
"CX67","BINAM","Iran","As1",4,1,"cB_(Bas)","aro",303
"CX104","SADRI_RICE_1","Iran","As1",4,1,"cB_(Bas)","aro",338
"CX143","KHASAR","Iran","As1",4,1,"cB_(Bas)","aro",372
"CX149","KARNAL_LOCAL","India","As2a",4,1,"cB_(Bas)","aro",378
"IRIS_313-8268","CHHOTE_DHAN","Nepal","As2b",4,1,"cB_(Bas)","aro",757
"IRIS_313-8326","JC_1","India","As2a",4,1,"cB_(Bas)","aro",777
"IRIS_313-8385","JC_149","India","As2a",4,1,"cB_(Bas)","aro",789
"IRIS_313-8656","BASMATI_1","Pakistan","As1",4,1,"cB_(Bas)","aro",868
"IRIS_313-8712","ARC_13829","India","As2e",4,1,"cB_(Bas)","aro",888
"IRIS_313-8747","DOM_ZARD","Iran","As1",4,1,"cB_(Bas)","aro",905
"IRIS_313-8813","ARC_10497","India","As2e",4,1,"cB_(Bas)","aro",926
"IRIS_313-9083","PANKHARI_203","India","As2a",4,1,"cB_(Bas)","aro",1010
"IRIS_313-9172","ARC_7229","India","As2e",4,1,"cB_(Bas)","aro",1036
"IRIS_313-9601","CHAWAL","Pakistan","As1",4,1,"cB_(Bas)","aro",1166
"IRIS_313-9629","JC_157","India","As2a",4,1,"cB_(Bas)","aro",1179
"IRIS_313-10670","ARC_10296","India","As2e",4,1,"cB_(Bas)","aro",1576
"IRIS_313-10851","ARC_7296","India","As2e",4,1,"cB_(Bas)","aro",1744
"IRIS_313-10868","ARC_11571","India","As2e",4,1,"cB_(Bas)","aro",1760
"IRIS_313-10926","RAM_SALEE_KATAKA","Nepal","As2b",4,1,"cB_(Bas)","aro",1817
"IRIS_313-10933","ARC_7281","India","As2e",4,1,"cB_(Bas)","aro",1824
"IRIS_313-11021","BARA_PASHAWARI_390","Pakistan","As1",4,1,"cB_(Bas)","aro",1910
"IRIS_313-11022","BASMATI_SUFAID_100","Pakistan","As1",4,1,"cB_(Bas)","aro",1911
"IRIS_313-11023","BASMATI_SURKH_161","Pakistan","As1",4,1,"cB_(Bas)","aro",1912
"IRIS_313-11026","HANSRAJ","Pakistan","As1",4,1,"cB_(Bas)","aro",1915
"IRIS_313-11218","BADSHABHOG_4-60","Bangladesh","As2c",4,1,"cB_(Bas)","aro",2100
"IRIS_313-11258","ARC_13502","India","As2e",4,1,"cB_(Bas)","aro",2140
"IRIS_313-11268","ARC_14398","India","As2e",4,1,"cB_(Bas)","aro",2150
"IRIS_313-11289","ARC_18578","India","As2e",4,1,"cB_(Bas)","aro",2171
"IRIS_313-11293","ARC_10975","India","As2e",4,1,"cB_(Bas)","aro",2175
"IRIS_313-11451","KALISAL","India","As2a",4,1,"cB_(Bas)","aro",2324
"IRIS_313-11564","HALIDA","Nepal","As2b",4,1,"cB_(Bas)","aro",2411
"IRIS_313-11567","RATO_BASMATI","Nepal","As2b",4,1,"cB_(Bas)","aro",2414
"IRIS_313-11625","CHOBO","Nepal","As2b",4,1,"cB_(Bas)","aro",2459
"IRIS_313-11627","JADO","Nepal","As2b",4,1,"cB_(Bas)","aro",2461
"IRIS_313-11630","POHHERLIMASION","Nepal","As2b",4,1,"cB_(Bas)","aro",2464
"IRIS_313-11632","SETO_JHINUWA","Nepal","As2b",4,1,"cB_(Bas)","aro",2465
"IRIS_313-11743","CHHOTI_MASHINO","Bhutan","As2d",4,1,"cB_(Bas)","aro",2562
"IRIS_313-11825","HANSRAJ","India","As2a",4,1,"cB_(Bas)","aro",2633
"IRIS_313-11826","HIRA_NAKHI","India","As2a",4,1,"cB_(Bas)","aro",2634
"IRIS_313-12074","KYAIN_WAR_ME_DONE","Myanmar","As3",4,1,"cB_(Bas)","aro",2857
"IRIS_313-12094","KASHA","Bangladesh","As2c",4,1,"cB_(Bas)","aro",2867
"CX66","TAROM_MOLAII","Iran","As1",4,1,"cB_(Bas)","aro",302
"CX110","UP15","Japan","As7",4,1,"cB_(Bas)","aro",343
"IRIS_313-8765","TIMMURAY","Bhutan","As2d",4,1,"cB_(Bas)","aro",910
"IRIS_313-8814","SHANKA","Bhutan","As2d",4,1,"cB_(Bas)","aro",927
"IRIS_313-9170","TK_DEEP_STRAW_34-786","Bangladesh","As2c",4,1,"cB_(Bas)","aro",1035
"IRIS_313-9445","KOIYA_DIGHA","Bangladesh","As2c",4,1,"admix","admix",1122
"IRIS_313-9682","TK_RED_35-799","Bangladesh","As2c",4,1,"cB_(Bas)","aro",1187
"IRIS_313-10521","SANNABATHA","India","As2a",4,1,"cB_(Bas)","aro",1481
"IRIS_313-10732","MADHUWA_KARIA","Nepal","As2b",4,1,"cB_(Bas)","aro",1630
"IRIS_313-11030","MUTANT_12-42","Pakistan","As1",4,1,"cB_(Bas)","aro",1919
"IRIS_313-11259","ARC_13515","India","As2e",4,1,"cB_(Bas)","aro",2141
"IRIS_313-11350","BAJAL","India","As2a",4,1,"cB_(Bas)","aro",2230
"IRIS_313-11356","CR_44-1","India","As2a",4,1,"cB_(Bas)","aro",2236
"IRIS_313-11362","KEYA_NUNIA","India","As2a",4,1,"cB_(Bas)","aro",2242
"IRIS_313-11373","T_3","India","As2a",4,1,"cB_(Bas)","aro",2252
"IRIS_313-11375","CODE_NO_31225","India","As2a",4,1,"cB_(Bas)","aro",2254
"IRIS_313-11401","MOTANGA","Bangladesh","As2c",4,1,"cB_(Bas)","aro",2279
"IRIS_313-11698","TAIPEI_167","Taiwan","As6",4,1,"cB_(Bas)","aro",2522
"IRIS_313-15909","IET_14720","0","0",4,1,"cB_(Bas)","aro",3020
"B023","GAOLIQIU","NorthKorea","As7",5,1,"GJ-tmp","temp",20
"B047","ZHENFU_8","Japan","As7",5,1,"GJ-tmp","temp",42
"B084","BAWANGBIAN_1","China","As6",5,1,"admix","admix",76
"B086","MUGUANUO","China","As6",5,1,"admix","admix",78
"B124","GENG_87-304","China","As6",5,1,"GJ-tmp","temp",114
"B143","76--1","China","As6",5,1,"GJ-tmp","temp",133
"B152","ZAOSHUNONGHU_6","China","As6",5,1,"GJ-tmp","temp",142
"B164","QINGKE","China","As6",5,1,"cA_(Aus)","aus",154
"B173","TJANTAJAN","Indonesia","As5",5,1,"admix","admix",162
"B221","FANHAOPI","China","As6",5,1,"XI-1A","ind1A",201
"B243","HUHUI_91269","China","As6",5,1,"cA_(Aus)","aus",222
"CX46","PUSA(BASMATI_1)","India","As2a",5,1,"admix","admix",283
"CX72","BASMATI_385","Pakistan","As1",5,1,"cB_(Bas)","aro",308
"CX155","MADHUKAR","India","As2a",5,1,"XI-2","ind2",384
"CX227","KASALATH","Japan","As7",5,1,"cA_(Aus)","aus",407
"IRIS_313-7933","KAKANI_2","Nepal","As2b",5,1,"admix","admix",626
"IRIS_313-8256","GERDEH","Iran","As1",5,1,"GJ-adm","japx",755
"IRIS_313-8302","KAMJA","Bhutan","As2d",5,1,"admix","admix",766
"IRIS_313-8382","ARC_13252","India","As2e",5,1,"admix","admix",787
"IRIS_313-8436","PIKTO_MAMAS","Indonesia","As5",5,1,"GJ-trp","trop",809
"IRIS_313-8872","571","Thailand","As4",5,1,"GJ-sbtrp","japx",942
"IRIS_313-8911","LEK","Thailand","As4",5,1,"admix","admix",955
"IRIS_313-8986","ARC_10754","India","As2e",5,1,"XI-adm","indx",981
"IRIS_313-9053","ARC_12536","India","As2e",5,1,"admix","admix",1001
"IRIS_313-9101","DARAWAL","Malaysia","As4",5,1,"admix","admix",1014
"IRIS_313-9137","ARC_10100","India","As2e",5,1,"cA_(Aus)","aus",1029
"IRIS_313-9242","SUKARADJA","Indonesia","As5",5,1,"admix","admix",1057
"IRIS_313-9313","ARC_10799","India","As2e",5,1,"XI-adm","indx",1080
"IRIS_313-9392","ARC_11626","India","As2e",5,1,"admix","admix",1104
"IRIS_313-9403","BADUIE","India","As2a",5,1,"XI-2","ind2",1108
"IRIS_313-9506","TIMA","Bhutan","As2d",5,1,"admix","admix",1139
"IRIS_313-9695","SOLAY_GHAT","Pakistan","As1",5,1,"cA_(Aus)","aus",1192
"IRIS_313-9783","BERENJ_1277_S","Afghanistan","As1",5,1,"admix","admix",1222
"IRIS_313-9949","PANNITHI","SriLanka","As2",5,1,"GJ-trp","trop",1267
"IRIS_313-10562","SENG_CHUI_LIN","China","As6",5,1,"GJ-adm","japx",1510
"IRIS_313-10609","MATHOLUWA","SriLanka","As2",5,1,"XI-adm","indx",1544
"IRIS_313-10671","ARC_10581","India","As2e",5,1,"XI-adm","indx",1577
"IRIS_313-10676","ARC_10916","India","As2e",5,1,"admix","admix",1581
"IRIS_313-10738","ANDEL_WELUT","Indonesia","As5",5,1,"admix","admix",1636
"IRIS_313-10740","KETAN_PAPAH_AREN","Indonesia","As5",5,1,"GJ-trp","trop",1638
"IRIS_313-10771","GOGO_RAJAPAN","Indonesia","As5",5,1,"GJ-trp","trop",1667
