color	ID	t_length	mean_size	N	length_%
black	B001	52118099	61127.384911659996	10311	13.978983644633614
black	B002	29894524	51212.25951656	6990	8.018034774428545
black	B003	4740013	53367.60112209999	1034	1.271319837748814
black	B004	181345	36526.75555556	56	0.04863794705567226
black	B005	1220270	65850.35982334	239	0.3272893978806843
black	B008	1422787	49566.07682850999	345	0.3816069519015339
black	B045	3473597	47898.93502816	420	0.9316432961748521
black	B046	535333	40205.68222242	164	0.1435800695962891
black	B056	4850783	61184.509262859996	1034	1.301010795702472
black	B057	5334474	46580.10921723	1396	1.4307634808663345
black	B066	3308413	50837.80672274	804	0.8873554123482745
black	B068	3151522	71916.35486425	630	0.8452615335318863
black	B069	30707701	54296.65070585	6907	8.235876346998497
black	B070	1304595	50664.438996280005	325	0.34990233353244177
black	B071	21545636	54447.28052162001	4700	5.7787590599121375
black	B077	28776052	52750.81655206999	6626	7.718011180576811
black	B100	8238047	63847.771258149995	1563	2.2094221533386604
black	B102	4371191	49233.28009806999	1046	1.172381374719175
black	B103	46228818	56083.228965	9930	12.39923978781164
black	B109	3567501	55347.14837886	789	0.9568335763560303
black	B110	24128294	49971.8068581	5799	6.471587637026816
black	B111	16317477	51427.342413779996	4004	4.376592791678884
black	B122	2143143	46344.23789038	576	0.5748160362072068
black	B134	14258620	49322.387593080006	3508	3.8243330151543296
black	B136	3112247	52560.635815910005	756	0.8347337974828744
black	B148	9785615	50206.44332912	2468	2.6245911540921347
black	B154	48951934	59666.171860170005	9882	13.129826365000472
black	B160	688421	80693.23055557001	94	0.18464163952053805
black	B161	7424067	49883.471008229986	1802	1.9911958129842748
black	B162	1929304	65955.40127547	386	0.5174426795095532
black	B167	1007163	52496.253227379995	209	0.2701316504063987
black	B168	1151059	39017.632782040004	342	0.30872284654201815
black	B182	998842	53654.05223155999	211	0.2678962002305468
black	B183	3390738	50926.853425049994	822	0.9094239652412385
black	B196	2778156	40950.5568204	770	0.7451353720419096
black	B204	1909728	45886.44075634	510	0.5122028316003727
black	B205	16189914	62862.41094108	3268	4.342326356869333
black	B212	4613908	57133.9104317	954	1.2374908078133091
black	B215	2425713	61094.29300864001	501	0.650588928544702
