color	ID	t_length	mean_size	N	length_%
black	B134	14258620	49322.387593080006	3508	3.8243330151543296
black	B241	1705654	40408.23836371001	392	0.4574680813937725
black	B245	3653502	50428.65453125999	911	0.9798890534469229
black	B266	5202356	47810.414920530005	1282	1.3952653812426203
black	IRIS_313-10656	1950981	41266.53451123	584	0.5232678701955616
black	IRIS_313-10679	1936794	39913.459965710004	578	0.5194619372554015
black	IRIS_313-10848	5829545	49846.77656631	1428	1.5635271547488807
black	IRIS_313-10865	13473068	48586.64688756	3374	3.61349167078818
black	IRIS_313-10866	2919048	46339.60506378001	763	0.7828781511711994
black	IRIS_313-10867	3077377	50918.949452630004	725	0.8253755413023781
black	IRIS_313-10870	2622126	57131.53487421	543	0.7032689987734098
black	IRIS_313-10874	3875244	46769.077195870006	981	1.039350533232506
black	IRIS_313-10884	6419931	52083.12427953	1219	1.7218715064843078
black	IRIS_313-10886	3335289	43762.20666643	933	0.8945509933417674
black	IRIS_313-10888	2317921	47022.20970748	594	0.6216830233030589
black	IRIS_313-10889	2312226	46641.87663004	573	0.620165405442723
black	IRIS_313-10890	2145866	49252.031188999994	522	0.5755370205685101
black	IRIS_313-10893	4786668	51495.34623622999	1153	1.2838160851040874
black	IRIS_313-10895	2101629	49492.149176809995	471	0.5636714115981845
black	IRIS_313-10922	3760250	46699.68293317	1015	1.008529473239578
black	IRIS_313-10923	1777355	54368.43489222001	378	0.4766984493884028
black	IRIS_313-11073	3037089	43399.92949793999	863	0.8145694323558572
black	IRIS_313-11077	1956269	44823.68233301	512	0.5246846362160926
black	IRIS_313-11094	654948	45830.78431842999	177	0.1756616539211962
black	IRIS_313-11494	3444958	50580.11030167	839	0.9239570410041873
black	IRIS_313-11623	2821726	50042.439777370004	661	0.7568087220767223
black	IRIS_313-11691	2982479	56001.283573169996	459	0.7999273819066267
black	IRIS_313-11831	7329273	42072.32331195	2062	1.9657819909728345
black	IRIS_313-11832	2029426	40635.79489805	578	0.5443080435725371
black	IRIS_313-11834	3525654	50289.38574226	849	0.9456215305262117
black	IRIS_313-11846	20673068	47323.4162469	5205	5.544796274627972
black	IRIS_313-11892	2718340	50687.92098779	609	0.7290782041283151
black	IRIS_313-11897	1320016	49249.21606611999	302	0.35404163940534383
black	IRIS_313-11900	1022464	46986.2848456	234	0.2742346721881513
black	IRIS_313-11922	2117710	48887.362537299996	535	0.5679764066015996
black	IRIS_313-11924	1061243	49215.79713463	226	0.2846332977382687
black	IRIS_313-12071	1223150	40010.39284337	360	0.32805676143947526
black	IRIS_313-12129	1956388	44432.55869129	542	0.5247174309970957
black	IRIS_313-12134	2793184	50395.52902988	623	0.7491661134208267
black	IRIS_313-12200	1658783	44412.91787674	455	0.44489702151050864
black	IRIS_313-12226	1489395	40247.17318914	448	0.39947101106197525
black	IRIS_313-12227	3232610	50950.86039114	797	0.8670228276137177
black	IRIS_313-12228	1200807	42224.64139913	348	0.3220642274128814
black	IRIS_313-12242	2913136	40720.00872226	872	0.7813245406947474
black	IRIS_313-12252	2371551	44183.63891903	602	0.6360789344671315
black	IRIS_313-12258	3053327	46649.115972889995	816	0.8189246571275818
black	IRIS_313-12262	2004128	38362.39109882	626	0.5375213607510867
black	IRIS_313-12265	1980944	45283.150248360005	519	0.5313031190740326
black	IRIS_313-12289	1528514	48276.49840999	386	0.40995731577470806
black	IRIS_313-12299	3104045	43757.57881134	808	0.832530684184718
black	IRIS_313-12307	1026303	36223.72222114	317	0.2752604603255489
black	IRIS_313-12312	2590925	63676.73461269999	508	0.6949033124953397
black	IRIS_313-12313	3060304	55688.90765744999	665	0.8207913188258557
black	IRIS_313-12321	1180023	41046.12160357	369	0.31649025414616144
