ID	chrom	color	t_length	mean_size	N
IRIS_313-11293	9	black	2036420	8414.95867769	242
IRIS_313-11293	9	green	1984064	8131.40983607	244
IRIS_313-11293	9	silver	4050457	11127.6291209	364
IRIS_313-11293	9	blue	9657097	21898.1791383	441
IRIS_313-11293	9	red	307257	3889.32911392	79
IRIS_313-11293	9	orange	1539957	12726.9173554	121
IRIS_313-11293	9	purple	1531435	7122.95348837	215
IRIS_313-11293	9	yellow	1791234	10353.9537572	173
IRIS_313-11030	9	black	5420328	10383.7701149	522
IRIS_313-11030	9	green	2043389	8173.556	250
IRIS_313-11030	9	silver	3563243	10065.6581921	354
IRIS_313-11030	9	blue	6802023	12809.8361582	531
IRIS_313-11030	9	red	1085385	4560.44117647	238
IRIS_313-11030	9	orange	1170532	7855.91946309	149
IRIS_313-11030	9	purple	1546513	6723.96956522	230
IRIS_313-11030	9	yellow	1265935	7111.99438202	178
IRIS_313-11743	9	black	5438949	15719.5057803	346
IRIS_313-11743	9	green	2044056	8624.70886076	237
IRIS_313-11743	9	silver	3279769	9732.25222552	337
IRIS_313-11743	9	blue	6417593	15064.7723005	426
IRIS_313-11743	9	red	595902	4884.44262295	122
IRIS_313-11743	9	orange	1879530	14799.4488189	127
IRIS_313-11743	9	purple	1097335	6493.10650888	169
IRIS_313-11743	9	yellow	2144701	10670.1542289	201
IRIS_313-10670	9	black	5241655	13793.8289474	380
IRIS_313-10670	9	green	2133631	8334.49609375	256
IRIS_313-10670	9	silver	3617196	10047.7666667	360
IRIS_313-10670	9	blue	6819866	16084.5896226	424
IRIS_313-10670	9	red	908183	4779.91052632	190
IRIS_313-10670	9	orange	1072051	9162.82905983	117
IRIS_313-10670	9	purple	1559592	6780.83478261	230
IRIS_313-10670	9	yellow	1545479	8134.1	190
IRIS_313-8326	9	black	1595140	6674.22594142	239
IRIS_313-8326	9	green	2240536	8329.13011152	269
IRIS_313-8326	9	silver	3913608	10577.3189189	370
IRIS_313-8326	9	blue	11032393	22607.3627049	488
IRIS_313-8326	9	red	611532	4815.21259843	127
IRIS_313-8326	9	orange	544061	6182.51136364	88
IRIS_313-8326	9	purple	1645540	7092.84482759	232
IRIS_313-8326	9	yellow	1315043	9813.75373134	134
IRIS_313-9170	9	black	2702379	9582.90425532	282
IRIS_313-9170	9	green	1378363	7178.97395833	192
IRIS_313-9170	9	silver	3682325	10257.1727019	359
IRIS_313-9170	9	blue	9269377	22228.7218225	417
IRIS_313-9170	9	red	918056	4806.57591623	191
IRIS_313-9170	9	orange	1816669	11425.591195	159
IRIS_313-9170	9	purple	2021224	7458.39114391	271
IRIS_313-9170	9	yellow	1113527	8010.98561151	139
IRIS_313-9172	9	black	5430949	14961.292011	363
IRIS_313-9172	9	green	1682471	7682.51598174	219
IRIS_313-9172	9	silver	3847246	11249.2573099	342
IRIS_313-9172	9	blue	6608626	14366.5782609	460
IRIS_313-9172	9	red	657338	5017.84732824	131
IRIS_313-9172	9	orange	1623091	14755.3727273	110
IRIS_313-9172	9	purple	1573598	7056.49327354	223
IRIS_313-9172	9	yellow	1474475	9332.12025316	158
IRIS_313-9601	9	black	7470005	14067.8060264	531
IRIS_313-9601	9	green	1898914	7656.91129032	248
IRIS_313-9601	9	silver	3345950	10295.2307692	325
IRIS_313-9601	9	blue	5764995	11348.4153543	508
IRIS_313-9601	9	red	841877	4651.25414365	181
IRIS_313-9601	9	orange	1043492	9153.43859649	114
IRIS_313-9601	9	purple	1248728	6572.25263158	190
IRIS_313-9601	9	yellow	1283556	6900.83870968	186
IRIS_313-11451	9	black	6565856	14990.5388128	438
IRIS_313-11451	9	green	1696800	7507.96460177	226
IRIS_313-11451	9	silver	2734623	9085.12624585	301
IRIS_313-11451	9	blue	3832091	11107.5101449	345
IRIS_313-11451	9	red	1552349	8391.07567568	185
IRIS_313-11451	9	orange	1185017	6583.42777778	180
IRIS_313-11451	9	purple	1195615	8133.43537415	147
IRIS_313-11451	9	yellow	4135333	14065.7585034	294
IRIS_313-8385	9	black	1794710	6341.73144876	283
IRIS_313-8385	9	green	2212238	8133.22794118	272
IRIS_313-8385	9	silver	3905960	10471.7426273	373
IRIS_313-8385	9	blue	10855403	20996.9110251	517
IRIS_313-8385	9	red	650258	5040.75968992	129
IRIS_313-8385	9	orange	551260	6264.31818182	88
IRIS_313-8385	9	purple	1637318	7057.40517241	232
IRIS_313-8385	9	yellow	1290622	9420.59854015	137
IRIS_313-10926	9	black	5295984	16295.3353846	325
IRIS_313-10926	9	green	1757172	7775.09734513	226
IRIS_313-10926	9	silver	3158396	9428.04776119	335
IRIS_313-10926	9	blue	6804300	15678.1105991	434
IRIS_313-10926	9	red	1182967	8047.39455782	147
IRIS_313-10926	9	orange	826832	9086.06593407	91
IRIS_313-10926	9	purple	1793475	7866.11842105	228
IRIS_313-10926	9	yellow	2078718	12227.7529412	170
IRIS_313-11625	9	black	6413808	14413.0516854	445
IRIS_313-11625	9	green	1836128	7650.53333333	240
IRIS_313-11625	9	silver	3357396	9816.94736842	342
IRIS_313-11625	9	blue	6370025	13382.4054622	476
IRIS_313-11625	9	red	1146012	6624.34682081	173
IRIS_313-11625	9	orange	1019041	7961.2578125	128
IRIS_313-11625	9	purple	1356875	6195.77625571	219
IRIS_313-11625	9	yellow	1398308	7599.5	184
IRIS_313-11627	9	black	5812471	15458.6994681	376
IRIS_313-11627	9	green	1406706	7686.91803279	183
IRIS_313-11627	9	silver	2757108	9474.59793814	291
IRIS_313-11627	9	blue	6424746	16224.1060606	396
IRIS_313-11627	9	red	924812	5639.09756098	164
IRIS_313-11627	9	orange	1311175	12253.9719626	107
IRIS_313-11627	9	purple	1616129	8978.49444444	180
IRIS_313-11627	9	yellow	2644769	14143.1497326	187
IRIS_313-8813	9	black	5449717	15570.62	350
IRIS_313-8813	9	green	1540577	7232.75586854	213
IRIS_313-8813	9	silver	3047435	9926.49837134	307
IRIS_313-8813	9	blue	6648409	15179.0159817	438
IRIS_313-8813	9	red	510802	4053.98412698	126
IRIS_313-8813	9	orange	1705895	14705.9913793	116
IRIS_313-8813	9	purple	1538830	7362.82296651	209
IRIS_313-8813	9	yellow	2456204	14280.255814	172
IRIS_313-8814	9	black	5749319	15580.8102981	369
IRIS_313-8814	9	green	2077039	8547.48559671	243
IRIS_313-8814	9	silver	3210939	9730.11818182	330
IRIS_313-8814	9	blue	6286479	14418.5298165	436
IRIS_313-8814	9	red	702551	4912.94405594	143
IRIS_313-8814	9	orange	1690666	14830.4035088	114
IRIS_313-8814	9	purple	1255883	7217.7183908	174
IRIS_313-8814	9	yellow	1924942	11126.8323699	173
IRIS_313-10933	9	black	4813916	13754.0457143	350
IRIS_313-10933	9	green	1950035	8227.99578059	237
IRIS_313-10933	9	silver	3651644	10228.6946779	357
IRIS_313-10933	9	blue	7359674	15237.4202899	483
IRIS_313-10933	9	red	640512	5124.096	125
IRIS_313-10933	9	orange	1284970	11681.5454545	110
IRIS_313-10933	9	purple	1761075	7368.51464435	239
IRIS_313-10933	9	yellow	1435898	8205.13142857	175
IRIS_313-11632	9	black	6136597	14010.4954338	438
IRIS_313-11632	9	green	1622255	7373.88636364	220
IRIS_313-11632	9	silver	3080001	10232.5614618	301
IRIS_313-11632	9	blue	6470984	15555.25	416
IRIS_313-11632	9	red	653218	4665.84285714	140
IRIS_313-11632	9	orange	1066532	11226.6526316	95
IRIS_313-11632	9	purple	1324182	6896.78125	192
IRIS_313-11632	9	yellow	2544005	11357.1651786	224
IRIS_313-11698	9	black	5596655	15417.7823691	363
IRIS_313-11698	9	green	1911144	8030.01680672	238
IRIS_313-11698	9	silver	3702978	10460.3898305	354
IRIS_313-11698	9	blue	5872097	13107.359375	448
IRIS_313-11698	9	red	898806	5256.1754386	171
IRIS_313-11698	9	orange	1531508	10939.3428571	140
IRIS_313-11698	9	purple	1871039	8352.85267857	224
IRIS_313-11698	9	yellow	1513457	8502.56741573	178
IRIS_313-9682	9	black	2626751	7505.00285714	350
IRIS_313-9682	9	green	1368882	7562.8839779	181
IRIS_313-9682	9	silver	3573872	10181.97151	351
IRIS_313-9682	9	blue	9991699	21721.0847826	460
IRIS_313-9682	9	red	1100291	4742.63362069	232
IRIS_313-9682	9	orange	1640956	11475.2167832	143
IRIS_313-9682	9	purple	1840734	6946.16603774	265
IRIS_313-9682	9	yellow	758633	5835.63846154	130
IRIS_313-9629	9	black	5438398	15538.28	350
IRIS_313-9629	9	green	1773792	7848.63716814	226
IRIS_313-9629	9	silver	3147038	9896.34591195	318
IRIS_313-9629	9	blue	6045617	15038.8482587	402
IRIS_313-9629	9	red	1164002	6767.45348837	172
IRIS_313-9629	9	orange	1262209	11687.1203704	108
IRIS_313-9629	9	purple	1666894	8171.04901961	204
IRIS_313-9629	9	yellow	2399897	13872.2369942	173
IRIS_313-12074	9	black	2951775	9110.41666667	324
IRIS_313-12074	9	green	1759301	8666.50738916	203
IRIS_313-12074	9	silver	3826138	10747.5786517	356
IRIS_313-12074	9	blue	9611682	20108.1213389	478
IRIS_313-12074	9	red	1378956	7035.48979592	196
IRIS_313-12074	9	orange	500917	5217.88541667	96
IRIS_313-12074	9	purple	2278992	7647.62416107	298
IRIS_313-12074	9	yellow	589994	6276.53191489	94
CX65	9	black	4412385	10555.9449761	418
CX65	9	green	1905333	7651.93975904	249
CX65	9	silver	3441559	10721.3676012	321
CX65	9	blue	9092879	17352.8225191	524
CX65	9	red	723613	5095.86619718	142
CX65	9	orange	819013	7875.125	104
CX65	9	purple	1362046	6949.21428571	196
CX65	9	yellow	1140868	7605.78666667	150
CX66	9	black	4309859	10511.8512195	410
CX66	9	green	1851375	7714.0625	240
CX66	9	silver	3393276	10440.8492308	325
CX66	9	blue	9317198	19492.0460251	478
CX66	9	red	746778	5045.7972973	148
CX66	9	orange	771876	7567.41176471	102
CX66	9	purple	1287295	6635.54123711	194
CX66	9	yellow	1220101	8414.48965517	145
CX67	9	black	4563117	10864.5642857	420
CX67	9	green	1851264	7844.33898305	236
CX67	9	silver	3393065	10408.1748466	326
CX67	9	blue	9151176	18907.3884298	484
CX67	9	red	755354	5069.48993289	149
CX67	9	orange	785042	7929.71717172	99
CX67	9	purple	1309914	6717.50769231	195
CX67	9	yellow	1088803	6979.50641026	156
IRIS_313-12094	9	black	2818027	11007.9179688	256
IRIS_313-12094	9	green	1688637	8704.31443299	194
IRIS_313-12094	9	silver	3440950	10923.6507937	315
IRIS_313-12094	9	blue	5753911	19438.8885135	296
IRIS_313-12094	9	red	753401	6125.21138211	123
IRIS_313-12094	9	orange	1868717	8342.48660714	224
IRIS_313-12094	9	purple	1237768	7072.96	175
IRIS_313-12094	9	yellow	5336493	17049.4984026	313
IRIS_313-11218	9	black	4646309	13275.1685714	350
IRIS_313-11218	9	green	1925093	8226.89316239	234
IRIS_313-11218	9	silver	3256715	9929.00914634	328
IRIS_313-11218	9	blue	6555588	15796.5975904	415
IRIS_313-11218	9	red	1235856	6790.41758242	182
IRIS_313-11218	9	orange	1198075	10509.4298246	114
IRIS_313-11218	9	purple	1804772	8021.20888889	225
IRIS_313-11218	9	yellow	2275361	12433.6666667	183
IRIS_313-11350	9	black	5890413	15665.9920213	376
IRIS_313-11350	9	green	1945175	8494.2139738	229
IRIS_313-11350	9	silver	2967691	10449.6161972	284
IRIS_313-11350	9	blue	6273527	15452.0369458	406
IRIS_313-11350	9	red	1033675	6984.29054054	148
IRIS_313-11350	9	orange	787676	9724.39506173	81
IRIS_313-11350	9	purple	1297662	7209.23333333	180
IRIS_313-11350	9	yellow	2702096	14928.7071823	181
IRIS_313-8747	9	black	4258413	10726.4811083	397
IRIS_313-8747	9	green	2105746	8037.19847328	262
IRIS_313-8747	9	silver	3411799	10465.6411043	326
IRIS_313-8747	9	blue	8838876	18414.325	480
IRIS_313-8747	9	red	654047	4671.76428571	140
IRIS_313-8747	9	orange	1008061	10080.61	100
IRIS_313-8747	9	purple	1391388	7135.32307692	195
IRIS_313-8747	9	yellow	1229412	7781.08860759	158
IRIS_313-11362	9	black	5762061	13686.6057007	421
IRIS_313-11362	9	green	2181220	8325.26717557	262
IRIS_313-11362	9	silver	3404379	10072.1272189	338
IRIS_313-11362	9	blue	6162915	13880.4391892	444
IRIS_313-11362	9	red	1269817	6683.24736842	190
IRIS_313-11362	9	orange	821836	6964.71186441	118
IRIS_313-11362	9	purple	1650239	7784.14622642	212
IRIS_313-11362	9	yellow	1645143	8025.08780488	205
IRIS_313-11630	9	black	6089158	15376.6616162	396
IRIS_313-11630	9	green	1670772	7560.05429864	221
IRIS_313-11630	9	silver	3043207	10281.1047297	296
IRIS_313-11630	9	blue	5707138	14709.1185567	388
IRIS_313-11630	9	red	539529	4281.97619048	126
IRIS_313-11630	9	orange	1898339	15309.1854839	124
IRIS_313-11630	9	purple	794640	5369.18918919	148
IRIS_313-11630	9	yellow	3155088	13717.773913	230
IRIS_313-11825	9	black	5042708	14164.9101124	356
IRIS_313-11825	9	green	1879133	7829.72083333	240
IRIS_313-11825	9	silver	3333690	11615.6445993	287
IRIS_313-11825	9	blue	5536380	13405.2784504	413
IRIS_313-11825	9	red	1290520	8546.49006623	151
IRIS_313-11825	9	orange	1598833	12021.3007519	133
IRIS_313-11825	9	purple	1062034	6764.5477707	157
IRIS_313-11825	9	yellow	3154524	13089.3112033	241
IRIS_313-11826	9	black	5206717	10691.4106776	487
IRIS_313-11826	9	green	1742404	7141.0	244
IRIS_313-11826	9	silver	3288475	10439.6031746	315
IRIS_313-11826	9	blue	7034566	14594.5352697	482
IRIS_313-11826	9	red	973450	5899.6969697	165
IRIS_313-11826	9	orange	686703	7228.45263158	95
IRIS_313-11826	9	purple	1477806	6778.9266055	218
IRIS_313-11826	9	yellow	2487423	9949.692	250
IRIS_313-11373	9	black	3972208	9712.0	409
IRIS_313-11373	9	green	2005434	8252.81481481	243
IRIS_313-11373	9	silver	3396359	10048.3994083	338
IRIS_313-11373	9	blue	8912535	17544.3602362	508
IRIS_313-11373	9	red	990719	6976.8943662	142
IRIS_313-11373	9	orange	1028462	10713.1458333	96
IRIS_313-11373	9	purple	1392255	7031.59090909	198
IRIS_313-11373	9	yellow	1199731	7360.31288344	163
IRIS_313-11375	9	black	646654	4339.95973154	149
IRIS_313-11375	9	green	1681217	10442.3416149	161
IRIS_313-11375	9	silver	4182005	10834.2098446	386
IRIS_313-11375	9	blue	3046691	17212.9435028	177
IRIS_313-11375	9	red	6882078	13764.156	500
IRIS_313-11375	9	orange	3217466	7624.32701422	422
IRIS_313-11375	9	purple	1759594	6665.12878788	264
IRIS_313-11375	9	yellow	1481899	10816.7810219	137
IRIS_313-10851	9	black	8077008	11249.3147632	718
IRIS_313-10851	9	green	1384557	5345.77992278	259
IRIS_313-10851	9	silver	3917801	10792.8402204	363
IRIS_313-10851	9	blue	4648276	7497.21935484	620
IRIS_313-10851	9	red	1046703	5880.35393258	178
IRIS_313-10851	9	orange	781331	4914.03144654	159
IRIS_313-10851	9	purple	1581515	6967.02643172	227
IRIS_313-10851	9	yellow	1463946	5442.17843866	269
CX59	9	black	1998344	8189.93442623	244
CX59	9	green	1654744	8273.72	200
CX59	9	silver	3599565	10255.1709402	351
CX59	9	blue	4896736	18203.4795539	269
CX59	9	red	4642178	12823.6961326	362
CX59	9	orange	1740571	6668.85440613	261
CX59	9	purple	1987877	7445.23220974	267
CX59	9	yellow	2377660	13904.4444444	171
CX104	9	black	6486935	10939.1821248	593
CX104	9	green	1774283	8329.96713615	213
CX104	9	silver	3608043	9858.04098361	366
CX104	9	blue	6069323	11494.9299242	528
CX104	9	red	1031743	4228.45491803	244
CX104	9	orange	1277576	7300.43428571	175
CX104	9	purple	1679969	6857.01632653	245
CX104	9	yellow	973531	5972.58282209	163
IRIS_313-8712	9	black	2033839	7532.73703704	270
IRIS_313-8712	9	green	1829147	7783.60425532	235
IRIS_313-8712	9	silver	3763824	11070.0705882	340
IRIS_313-8712	9	blue	11499235	23906.9334719	481
IRIS_313-8712	9	red	472061	4291.46363636	110
IRIS_313-8712	9	orange	1035265	12037.9651163	86
IRIS_313-8712	9	purple	1496561	6288.07142857	238
IRIS_313-8712	9	yellow	767960	5188.91891892	148
CX110	9	black	2525540	9639.46564885	262
