CHR	IN	PC1	PC2	PC3	PC4	PC5
1	39452674	0.63015	0.17319	0.08543	0.05533	0.01262
1	17825795	0.72818	0.15309	0.02358	0.02092	0.01209
1	35389445	0.55008	0.18217	0.15606	0.05694	0.01418
1	40200132	0.78771	0.07042	0.05938	0.01461	0.01114
1	10092551	0.37958	0.29719	0.1682	0.03484	0.01162
1	33783820	0.73619	0.0969	0.09466	0.01987	0.01168
1	7372814	0.92161	0.04676	0.00844	0.00291	0.00179
1	34302637	0.68175	0.12313	0.09987	0.0398	0.0178
1	43155473	0.79624	0.15387	0.01269	0.01017	0.00681
1	38338578	0.68521	0.1618	0.07025	0.0157	0.01159
1	28868277	0.40618	0.33778	0.09729	0.05521	0.03258
1	39188902	0.35748	0.19434	0.13304	0.0696	0.06621
1	38699031	0.9124	0.04689	0.01478	0.0065	0.00395
1	42729498	0.527	0.16853	0.12045	0.06994	0.03251
1	4849693	0.64761	0.2203	0.06008	0.01306	0.00818
1	28606494	0.27486	0.20738	0.1672	0.15053	0.077
1	39528370	0.44709	0.22879	0.11773	0.07635	0.04934
1	30107553	0.5626	0.25832	0.05997	0.04162	0.02774
1	41250557	0.46287	0.17834	0.13132	0.06618	0.0425
1	36943483	0.91572	0.06172	0.00297	0.00268	0.00182
1	13533220	0.28146	0.20801	0.09984	0.07151	0.06327
1	19103781	0.44355	0.17657	0.11545	0.078	0.04765
1	12582950	0.89751	0.02838	0.02397	0.00878	0.00676
1	24707111	0.86405	0.0392	0.02716	0.0151	0.01367
1	21692423	0.63236	0.20669	0.07642	0.02492	0.01278
1	13986482	0.30371	0.16613	0.13155	0.1084	0.09634
1	20381742	0.27806	0.18045	0.15082	0.09627	0.05096
1	24215600	0.36072	0.26582	0.08502	0.08008	0.05355
1	7733297	0.45924	0.37252	0.09529	0.01385	0.00962
1	30670902	0.46368	0.20852	0.18564	0.03117	0.01707
1	14516279	0.34776	0.12806	0.12593	0.10241	0.09354
1	40782249	0.92857	0.04596	0.00396	0.00315	0.00306
1	15466554	0.80983	0.07092	0.04002	0.03135	0.00834
1	19202107	0.38567	0.24078	0.08772	0.06812	0.03678
1	9699389	0.47547	0.28689	0.13631	0.02187	0.01122
1	36110398	0.49981	0.28312	0.08803	0.04793	0.02123
1	34611739	0.47877	0.24966	0.1262	0.04385	0.04101
1	27972960	0.83624	0.10299	0.00948	0.00814	0.00689
1	33184541	0.66667	0.11408	0.04718	0.03916	0.03121
1	18219077	0.64041	0.0941	0.05537	0.04581	0.0372
1	34439241	0.92962	0.03236	0.00814	0.00503	0.00373
1	40829003	0.57726	0.24063	0.07969	0.05378	0.00867
1	15171660	0.39625	0.30111	0.0888	0.05717	0.03363
1	18612303	0.36821	0.19619	0.12279	0.09435	0.07208
1	9142352	0.6898	0.212	0.01396	0.0093	0.00652
1	21659730	0.79013	0.08242	0.04041	0.01557	0.01205
1	14483539	0.23846	0.19246	0.13133	0.11447	0.08226
