chrom	start	end	cluster	label
1	47038	51521	2	5
1	49230	52526	1	5
1	171056	174251	0	1
1	173413	175696	0	1
1	174261	178851	1	5
1	299650	305268	2	5
1	302881	307196	2	5
1	327706	329839	7	1
1	329864	332672	6	1
1	380611	385577	0	0
1	383126	388439	0	0
1	629872	633758	5	1
1	741375	744476	2	0
1	743423	746055	3	0
1	746181	749771	2	9
1	748556	854581	2	2
1	840351	858278	2	2
1	855030	912611	1	9
1	921695	924719	2	2
1	926735	931907	3	2
1	929066	934389	3	2
1	932671	948230	3	2
1	1011603	1015450	0	2
1	1014235	1017493	1	2
1	1015469	1018657	2	9
1	1017499	1019377	2	3
1	1018665	1021109	4	3
1	1019421	1022593	2	3
1	1021135	1024009	2	3
1	1022652	1025455	2	3
1	1024042	1026802	3	3
1	1025457	1027991	2	3
1	1026805	1029308	2	3
1	1028014	1030871	3	3
1	1029329	1032590	0	9
1	1032597	1037200	0	2
1	1036562	1040605	0	2
1	1037205	1044616	4	3
1	1040606	1046495	4	3
1	1044663	1049195	1	9
1	1049198	1052558	2	1
1	1052659	1057326	2	0
1	1057329	1063565	0	0
1	1059908	1068390	0	0
1	1063589	1071766	0	0
1	1071781	1074307	0	0
1	1076532	1079167	6	8
1	1079175	1082979	0	1
1	1080818	1084364	1	1
1	1084371	1088303	0	0
1	1086592	1090287	0	0
1	1090362	1095707	1	2
1	1185371	1188484	3	1
1	1187249	1189729	3	1
1	1374690	1398877	4	1
1	1402412	1406545	7	1
1	1419956	1424765	5	1
1	1424789	1427087	0	1
1	1425966	1430236	7	1
1	1487412	1488711	6	1
1	1520381	1522396	0	5
1	1522416	1531127	0	2
1	1532788	1536092	1	2
1	1536127	1540869	1	2
1	1538589	1542528	1	2
1	1540940	1543759	1	2
1	1542530	1545171	1	2
1	1545191	1550528	1	2
1	1545191	1550528	6	1
1	1547957	1552673	1	2
1	1547957	1552673	5	1
1	1550534	1554167	1	5
1	1597128	1600813	6	1
1	1620967	1624951	2	3
1	1622259	1627618	0	9
1	1677512	1680009	0	3
1	1678905	1681438	1	3
1	1688301	1693967	1	3
1	1696468	1698770	1	3
1	1697326	1700118	5	3
1	1698782	1701231	1	3
1	1698782	1701231	7	1
1	1700119	1701877	1	3
1	1700119	1701877	7	1
1	1701240	1703101	6	1
1	1704953	1708684	8	1
1	1705942	1712202	1	3
1	1705942	1712202	7	1
1	1714876	1716699	1	9
1	1720795	1724013	7	1
1	1722148	1725422	4	1
1	1724039	1728095	6	1
1	1729729	1733406	1	3
1	1732152	1734874	7	1
1	1736117	1741562	4	1
1	1741650	1745949	7	1
1	1741650	1745949	9	1
1	1744750	1747355	1	3
1	1746042	1751032	6	1
1	1753533	1756278	1	3
1	1755203	1757770	7	1
1	1759198	1762228	1	3
1	1760746	1763073	1	3
1	1762288	1764739	1	3
1	1764743	1767326	1	3
1	1766179	1768318	1	3
1	1767332	1770056	1	3
