tag	chr	start	end	ID	Name	Note
1384	1	2903	10817	Os01g01010	Os01g01010	TBC domain containing protein%2C expressed
8137	1	11218	12435	Os01g01019	Os01g01019	expressed protein
8137	1	12648	15915	Os01g01030	Os01g01030	monocopper oxidase%2C putative%2C expressed
10877	1	16292	20323	Os01g01040	Os01g01040	expressed protein
18562	1	22841	26971	Os01g01050	Os01g01050	R3H domain containing protein%2C expressed
24001	1	27136	28651	Os01g01060	Os01g01060	40S ribosomal protein S5%2C putative%2C expressed
24001	1	29818	34493	Os01g01070	Os01g01070	expressed protein
28038	1	35581	41180	Os01g01080	Os01g01080	decarboxylase%2C putative%2C expressed
52400	1	57082	57972	Os01g01110	Os01g01110	expressed protein
53344	1	58658	61090	Os01g01115	Os01g01115	pentatricopeptide%2C putative%2C expressed
60112	1	62059	63576	Os01g01120	Os01g01120	enolase-phosphatase E1%2C putative%2C expressed
60112	1	63244	66302	Os01g01130	Os01g01130	snurportin-1%2C putative%2C expressed
68169	1	69675	70131	Os01g01140	Os01g01140	expressed protein
70901	1	72775	79938	Os01g01150	Os01g01150	RNA recognition motif%2C putative%2C expressed
80437	1	82428	84302	Os01g01160	Os01g01160	heat shock protein DnaJ%2C putative%2C expressed
80437	1	85337	88844	Os01g01170	Os01g01170	expressed protein
81926	1	88986	89204	Os01g01180	Os01g01180	expressed protein
81926	1	89653	91521	Os01g01190	Os01g01190	phosphoesterase family protein%2C putative%2C expressed
132875	1	134291	135685	Os01g01280	Os01g01280	expressed protein
137401	1	139820	141588	Os01g01290	Os01g01290	histone-like transcription factor and archaeal histone%2C putative%2C expressed
139798	1	141936	144554	Os01g01295	Os01g01295	expressed protein
141666	1	145577	147852	Os01g01302	Os01g01302	shikimate kinase%2C putative%2C expressed
144294	1	148045	150577	Os01g01307	Os01g01307	translocon-associated protein beta domain containing protein%2C expressed
164387	1	168470	170389	Os01g01340	Os01g01340	light-induced protein 1-like%2C putative%2C expressed
164387	1	170712	173434	Os01g01350	Os01g01350	SNF7 domain containing protein%2C putative%2C expressed
174261	1	178310	180812	Os01g01360	Os01g01360	peptide transporter PTR2%2C putative%2C expressed
179446	1	186246	190846	Os01g01369	Os01g01369	3-beta-hydroxysteroid-Delta-isomerase%2C putative%2C expressed
186349	1	191036	196287	Os01g01380	Os01g01380	expressed protein
188662	1	197647	200803	Os01g01390	Os01g01390	expressed protein
197811	1	201944	206743	Os01g01400	Os01g01400	expressed protein
202180	1	205710	209606	Os01g01410	Os01g01410	TKL_IRAK_C-LEC.1 - TKL_IRAK_C-LEC has homology to C-type lectin receptors%2C expressed
205489	1	209771	214229	Os01g01420	Os01g01420	expressed protein
211643	1	216126	217664	Os01g01430	Os01g01430	No apical meristem protein%2C putative%2C expressed
211643	1	219011	220776	Os01g01440	Os01g01440	expressed protein
224227	1	226897	229331	Os01g01450	Os01g01450	stress responsive protein%2C putative%2C expressed
240090	1	241641	243468	Os01g01470	Os01g01470	no apical meristem protein%2C putative%2C expressed
246208	1	248706	256878	Os01g01484	Os01g01484	light-mediated development protein DET1%2C putative%2C expressed
258777	1	259607	259909	Os01g01500	Os01g01500	expressed protein
258777	1	261504	268471	Os01g01510	Os01g01510	sas10/Utp3 family protein%2C expressed
264657	1	270145	275084	Os01g01520	Os01g01520	transferase family protein%2C putative%2C expressed
270349	1	288372	292296	Os01g01570	Os01g01570	kinesin heavy chain%2C putative%2C expressed
270349	1	292844	293535	Os01g01580	Os01g01580	expressed protein
270349	1	293648	294536	Os01g01590	Os01g01590	hypothetical protein
295214	1	303103	306800	Os01g01600	Os01g01600	ethylene-responsive protein related%2C putative%2C expressed
