chrom	start	end	cluster	Nsnps	label
1	1204894	1207879	5	81	4791
1	1207893	1210355	5	73	1927
1	1499027	1504657	5	79	691
1	1680014	1682001	7	84	5159
1	1732152	1734874	7	90	4293
1	1733426	1736114	6	97	232
1	1734898	1738748	5	110	2904
1	1795941	1800480	3	60	529
1	1865856	1870136	3	42	1965
1	2062816	2066624	5	111	2938
1	2064986	2067417	6	106	3297
1	2102750	2106030	3	113	1729
1	2406897	2559737	2	105	2702
1	4575877	4581426	7	78	2602
1	4579217	4583480	7	69	5692
1	4803836	4811179	6	90	224
1	4831973	4834642	8	77	781
1	4897114	4901359	4	78	3787
1	4899994	4904194	4	82	1137
1	4904205	4908006	5	38	2235
1	4948365	4954823	4	57	257
1	5924164	5927670	8	26	2323
1	6266817	6270890	7	71	2914
1	6279716	6282978	4	82	2952
1	6281690	6284492	4	62	4913
1	6295079	6300125	5	66	3983
1	6297865	6301839	6	61	3742
1	6319637	6322198	6	75	1737
1	6320690	6323127	6	113	2333
1	6322220	6324455	7	114	3018
1	6323134	6326352	5	113	3425
1	6335017	6338329	5	104	4694
1	6343272	6354281	5	81	752
1	6352315	6355977	5	108	1183
1	6357135	6361343	5	86	4915
1	6359366	6363185	5	92	1569
1	6385929	6388211	5	64	2508
1	6386988	6389441	6	71	2487
1	6423800	6426445	5	30	2640
1	6424749	6429294	4	31	2531
1	6440904	6444767	4	91	2674
1	6452075	6458049	4	71	415
1	6461260	6469392	6	65	1669
1	6465554	6472820	5	64	1632
1	6489140	6493552	3	60	572
1	6491129	6496330	4	60	2107
1	6496352	6501019	4	88	3432
1	6502777	6506944	7	21	5612
1	6585035	6591618	5	71	5542
1	6608491	6611142	4	82	81
1	6718090	6722228	5	79	334
1	6978822	6981949	5	60	2056
1	6980033	6983579	4	47	5828
1	6981950	6987618	4	61	4147
1	6983614	6989933	4	70	5129
1	6992107	6994428	5	32	1657
1	6992775	6996604	5	66	5897
1	6994431	6998080	5	83	336
1	6996609	7000410	4	96	5601
1	6998409	7001643	4	98	4693
1	7000520	7002906	5	69	1960
1	7001655	7005168	3	65	2556
1	7002925	7006204	6	92	333
1	7005174	7007495	5	95	4588
1	7012475	7017151	5	88	6010
1	7014189	7018527	5	92	4645
1	7022555	7026882	4	67	433
1	7032449	7035184	4	88	5548
1	7052392	7055102	4	74	4191
1	7054267	7056746	5	56	4697
1	7055104	7058979	4	68	3586
1	7060414	7064753	4	41	5765
1	7062623	7069014	5	43	3294
1	7069022	7070459	6	51	2801
1	7082045	7084619	6	38	2233
1	7084695	7088512	4	68	2731
1	7089690	7093515	5	46	1704
1	7091221	7096036	6	58	2992
1	7094086	7100416	6	58	2872
1	7103627	7107459	5	72	2412
1	7104793	7111013	4	90	5527
1	7111037	7120952	5	72	4696
1	7117294	7125683	5	78	2088
1	7121038	7127479	5	72	2682
1	7125715	7128295	4	62	1331
1	7128319	7132633	4	47	4978
1	7132647	7138788	5	54	1786
1	7135410	7141235	5	70	3941
1	7138816	7145712	3	77	5871
1	7141241	7151781	6	75	6069
1	7145762	7155029	3	72	4929
1	7151878	7156644	4	94	457
1	7155057	7158888	4	100	5990
1	7156652	7162278	4	87	4670
1	7158925	7165969	4	86	4177
1	7165970	7169692	4	78	2988
1	7167744	7172074	4	81	4678
1	7174260	7179431	4	55	3340
1	7176785	7180975	5	52	1463
1	7179437	7181926	5	35	281
1	7180977	7185615	3	36	388
1	7182112	7186697	3	39	3091
1	7185624	7188519	5	44	1155
1	7186718	7195159	6	57	912
1	7195181	7204691	5	93	1831
1	7201815	7208392	5	83	4389
1	7204895	7209240	5	75	4428
1	7210091	7210953	4	43	1255
1	7212388	7213366	5	49	3565
1	7212947	7214051	5	49	5052
1	7213371	7217446	5	81	4001
1	7214090	7218964	7	94	1767
1	7451240	7454800	3	44	5571
1	9242760	9248808	5	64	1369
1	9739672	9741572	4	6	4137
1	10619861	10623256	3	59	3535
1	12806511	12809801	5	83	740
1	12814613	12815628	13	61	3874
1	12816857	12818571	6	49	888
1	12817441	12819234	4	28	3667
1	12818660	12819761	2	20	845
1	12819287	12820424	8	55	1079
1	12820985	12822155	4	77	5876
1	12821608	12822951	4	82	2451
1	12830950	12838140	5	35	4727
1	12856455	12858074	6	48	3380
1	12857513	12858835	4	60	4768
1	12858114	12859386	5	61	4479
1	12858892	12859868	6	57	5404
1	12859398	12868321	4	68	5886
1	12859872	12871102	4	66	577
1	12868333	12872660	4	43	440
1	12894016	12896476	5	91	1589
1	12895170	12898535	5	80	5080
1	12905787	12907199	5	44	4407
1	12906405	12907714	5	45	3202
1	12907201	12908473	5	43	4975
1	12907724	12909242	4	40	4102
1	12917416	12920605	8	58	5312
1	12922905	12928904	4	46	2018
1	12922905	12928904	5	46	4485
1	12926599	12932163	4	65	2229
1	12939473	12941771	5	94	1160
1	13081205	13142175	4	54	4496
1	13262621	13263979	5	75	318
1	13283684	13285856	5	91	5842
1	13303665	13307130	4	93	5846
1	13334299	13339249	6	98	400
1	13337248	13339872	4	100	4129
1	13339266	13340483	3	98	309
1	13339876	13341800	7	100	2385
1	13340486	13343750	5	93	6022
1	13368324	13374373	5	95	2227
1	13497823	13508914	4	96	4037
1	13510955	13513584	8	83	4378
1	13518281	13520182	4	103	3142
1	13531984	13533230	4	102	3893
1	13891094	13893483	4	75	1080
1	13947607	13957400	2	92	670
1	13950020	13959202	5	100	4181
1	13957420	13960074	6	99	3621
1	13959241	13964755	8	64	4317
1	13960129	13970250	3	31	4146
1	13964762	13972087	5	53	999
1	13972846	13979277	5	67	1939
1	13986074	13989405	4	86	1663
1	13988020	13990188	3	90	1705
1	13998365	14003461	3	70	574
1	14001497	14004660	3	67	2079
1	14024647	14028337	3	63	664
1	14027168	14031372	3	61	1446
1	14028347	14032874	2	53	3672
1	14038658	14041311	4	68	29
1	14039953	14042708	4	97	3649
1	14054868	14061318	3	19	3187
1	14060655	14061888	3	12	2371
1	14080394	14103231	3	78	1003
1	14096432	14109915	3	85	3289
1	14701986	14704762	9	52	4849
1	14710004	14727152	1	59	2634
1	14898147	14899539	1	80	1658
1	15178258	15185387	2	86	3034
1	16379432	16381045	4	9	5275
1	16380193	16382129	4	11	4041
1	16381055	16382674	1	8	5983
1	16436264	16444749	2	59	2118
1	19058493	19060260	6	25	4896
1	19227518	19230016	5	80	858
1	21365103	21625143	3	30	213
1	21732667	21734843	6	96	4419
1	21736379	21740801	7	60	2478
1	21746357	21751874	6	84	4962
1	21751209	21752849	8	59	5357
1	21752279	21753767	7	41	1482
1	22351522	22355220	5	70	6003
1	22352839	22356950	4	51	3825
1	22361277	22364486	4	89	4736
1	22362143	22380871	5	70	1470
1	22364577	22383593	6	67	1193
1	22393244	22399271	5	69	5330
1	22397055	22400218	4	71	778
1	22409002	22410596	5	78	1201
1	22410125	22411229	5	47	622
1	22410641	22411879	4	54	52
1	22411241	22420234	5	70	1377
1	22429538	22436180	3	69	2929
1	22454278	22456941	5	34	6076
1	22455605	22458960	6	44	4447
1	22462068	22464881	3	99	5953
1	22464914	22469181	6	59	3398
1	22468043	22470485	6	44	5045
1	22469240	22471368	5	27	4166
1	22470487	22472059	5	39	4556
1	22472093	22476599	4	101	5094
1	22480469	22485722	5	69	425
1	22483205	22486776	5	78	424
1	22485818	22487487	4	89	3090
1	22486781	22488632	4	88	4434
1	22487495	22491161	5	80	2179
1	22488638	22492731	5	90	1719
1	22491169	22493581	5	120	1639
1	22495516	22504170	5	67	3562
1	22594581	22597188	6	62	5219
1	22595809	22599319	5	73	5158
1	22606521	22610701	4	86	4719
1	22618391	22623425	5	51	5264
1	22623430	22627829	4	70	1341
1	22654637	22662109	1	73	4131
1	22670886	22674396	4	88	3676
1	22674652	22680383	5	64	3155
1	22718777	22723563	4	33	2544
1	22726433	22729890	3	88	240
1	22755361	22758722	5	101	2126
1	22757391	22759566	4	109	2996
1	22778772	22781861	5	45	5298
1	22781862	22784978	4	88	2173
1	22785014	22787202	4	82	5270
1	22785943	22788032	5	97	6034
1	22787235	22791205	5	79	299
1	22788112	22791895	4	47	6043
1	22791271	22793245	4	53	5242
1	22814630	22816670	1	79	5013
1	22829197	22832400	5	56	1428
1	22831771	22834174	7	48	5489
1	22834259	22838947	4	94	3728
1	22840498	22844170	4	59	1942
1	22846084	22854964	4	52	5613
1	22861187	22866777	4	73	151
1	22974281	22979159	4	89	4632
1	22975299	22981493	4	87	5872
1	22979174	22983878	4	87	1638
1	22981515	22987064	3	86	1806
1	22987084	22991859	7	80	4683
1	22993934	23001051	5	98	3624
1	23003130	23006247	3	49	2217
1	23096645	23101246	4	75	1843
1	23104305	23106499	6	27	753
1	23362752	23368165	4	74	566
1	23366230	23375408	3	44	1837
1	23368275	23379312	4	60	4671
1	23667172	23673388	1	72	2859
1	23672200	23674136	2	84	4594
1	23674187	23681934	2	76	385
1	24071060	24074791	3	85	6075
1	24072829	24076191	4	64	1038
1	24080067	24088038	5	59	865
1	24083849	24089401	3	89	1447
1	24088049	24093326	3	84	971
1	24096894	24104612	4	63	5331
1	24114572	24119387	5	88	3936
1	24116330	24120130	4	103	1279
1	24119393	24120831	4	88	1846
1	24120840	24122944	4	94	3640
1	24122960	24125177	4	106	3499
1	24134382	24136340	5	75	3848
1	24135763	24137428	3	85	225
1	24139790	24144906	4	75	2852
1	24142739	24146653	4	72	3224
1	24144917	24148552	4	69	4568
1	24148641	24151962	4	86	5191
1	24149843	24153409	2	67	567
1	24161964	24165876	4	86	1969
1	24174277	24175976	4	82	1712
1	24175980	24180713	1	96	4418
1	24180745	24182957	3	70	4115
1	24183697	24185814	4	72	2893
1	24184843	24187361	3	52	6091
1	24185819	24189215	4	63	586
1	24187363	24190904	3	77	3329
1	24190907	24195241	3	88	5823
1	24193584	24196678	3	76	3811
1	24195279	24198113	3	64	4599
1	24199802	24201784	3	63	1780
1	24200592	24203934	3	53	3352
1	24203943	24205849	4	69	3696
1	24205864	24207087	3	63	1000
1	24206405	24208400	4	75	3039
1	24207088	24209304	4	81	5947
1	24211794	24213646	3	62	2377
1	24212696	24214840	4	75	680
1	24213662	24215600	5	83	3594
1	24214963	24216806	5	76	1833
1	24215630	24217747	3	67	1718
